"id","country","variable","coarse_level_name","coarse_source_name","coarse_source_url","fine_level_name","fine_source_name","fine_source_url","notes","status"
"1","日本","人口","都道府県","SSDSE-B（教育用標準データセット・都道府県データ）／総務省統計局・統計センター(NSTAC)","https://www.nstac.go.jp/files/SSDSE-B-2026.csv","市区町村","SSDSE-A（教育用標準データセット・市区町村データ）／総務省統計局・統計センター(NSTAC)","https://www.nstac.go.jp/files/SSDSE-A-2026.csv","どちらもCSVを直接ダウンロード可能（ポータル: https://www.nstac.go.jp/use/literacy/ssdse/ ）。市区町村データは1741市区町村×約125項目、都道府県データは47都道府県×2012〜2023年×約109項目で、総人口・男女別人口などの列コードが共通しているため比較しやすい。","done"
"2","日本","出生数・出生率","都道府県","e-Stat「人口動態調査」都道府県別 出生数・出生率／厚生労働省","https://www.e-stat.go.jp/dbview?sid=0003411597","市区町村","e-Stat「人口動態調査」市区町村別 出生数／厚生労働省","https://www.e-stat.go.jp/dbview?sid=0003412062","同一調査（人口動態調査）由来。都道府県データは1935〜2024年、市区町村データは近年分（2015〜2024年頃）をカバー。CSV/API等でダウンロード可。都道府県系列は2004〜2017年に報告漏れの遡及改定があった旨の注記あり。 / 【追記】coarse_source_url・fine_source_urlともにHTTP 200で応答するが、ページはJavaScriptで動的にデータを描画するSPA（Drupalベースのe-Stat「dbview」画面）であり、生HTML内には数値データが一切含まれていない。埋め込みJSONもDrupalの画面設定のみ。ヘッドレスブラウザ（Playwright/Chromium、プロキシ経由）でのレンダリングも接続がリセットされ失敗。数値取得にはe-Stat APIの利用登録（無料だが本タスクでは取得不可なappId）が必要なため、今回は取得不能と判断してbroken_urlとした。","broken_url"
"3","日本","課税対象所得","都道府県","e-Stat「社会・人口統計体系」都道府県データ 基礎データC 経済基盤／総務省統計局","https://www.e-stat.go.jp/dbview?sid=0000010103","市区町村","e-Stat「社会・人口統計体系」市区町村データ 基礎データC 経済基盤／総務省統計局","https://www.e-stat.go.jp/dbview?sid=0000020203","同じ項目コード「C120110 課税対象所得【千円】」が両方の表に存在することを確認済み。都道府県データは1975〜2025年度、市区町村データは1980〜2024年度をカバー。CSV/Excel/XML/JSON等でダウンロード可。 / 【追記】id=2と同じe-Stat「dbview」形式のページで、同様にJavaScriptでのみ数値が描画され、生HTML・埋め込みJSONいずれにも実データが存在しないことを確認。ヘッドレスブラウザでの取得も失敗。取得不能と判断しbroken_urlとした。","broken_url"
"4","アメリカ","人口","州 (State)","U.S. Census Bureau, Population Estimates Program (Vintage 2025)","https://www.census.gov/data/tables/time-series/demo/popest/2020s-state-total.html","郡 (County)","U.S. Census Bureau, Population Estimates Program (Vintage 2025)","https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html","どちらもXLSX/CSVで2020〜2025年の年次推計をダウンロード可能。同じ推計手法・年次（Vintage 2025）なので州と郡の比較に適している。登録不要。","done"
"5","アメリカ","個人所得 (Personal Income)","州 (State)","Bureau of Economic Analysis (BEA), Personal Income by State","https://www.bea.gov/data/income-saving/personal-income-by-state","郡 (County)","Bureau of Economic Analysis (BEA), Personal Income by County","https://www.bea.gov/data/income-saving/personal-income-by-county","両方とも対話的な表・地図とCSV/Excelダウンロードあり。州データは四半期更新（2026年Q1まで）、郡データは年次（2024年まで）。登録不要、無料。 / 【追記】ページ案内先の州別テーブルZIP（SAINC1）はエラーHTMLが返り取得不能だったが、郡別テーブルZIP（CAINC1、https://apps.bea.gov/regional/zip/CAINC1.zip ）の全地域ファイルに州ごとの合計行も含まれていたため、そちらから州・郡両方のデータ（人口・一人当たり個人所得、2024年）を取得できた。","done"
"6","イギリス","人口推計 (mid-year population estimates)","地域 (Region) / 地方自治体 (Local Authority)","ONS「Population estimates for England and Wales」mid-2023 bulletin","https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/bulletins/populationestimatesforenglandandwales/mid2023","LSOA（Lower Layer Super Output Area、人口約1700人単位）","ONS「Lower layer Super Output Area population estimates」","https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimatesnationalstatistics","どちらもExcel(.xlsx)でダウンロード可、Open Government Licence v3.0、登録不要。地域・地方自治体（318団体）は1つのExcelにまとまっており、LSOA版は約35,000地区まで細分化。同じ人口変数で集計単位の粗さを比較する好例。 / 【追記】coarse_source_urlのbulletinページから実データ本体である「estimatesofthepopulationforenglandandwales」データセットページ（mid2023、mye23tablesew.xlsx）とLSOAデータセットページ（sapelsoabroadage20222024.xlsx、mid-2023シート含む）を特定し、両方ともHTTP 200で取得・分析済み。","done"
"7","イギリス","世帯可処分所得 (Gross Disposable Household Income, GDHI)","ITL1/ITL2/ITL3 地域","ONS「Regional gross disposable household income (GDHI)」","https://www.ons.gov.uk/economy/regionalaccounts/grossdisposablehouseholdincome/datasets/regionalgrossdisposablehouseholdincomegdhi","地方自治体 (Local Authority)","ONS「Regional GDHI: local authorities by ITL1 region」","https://www.ons.gov.uk/economy/regionalaccounts/grossdisposablehouseholdincome/datasets/regionalgrossdisposablehouseholdincomelocalauthoritiesbyitl1region","どちらもExcel(.xlsx)、OGL v3.0、登録不要。地域データは1997〜2023年、地方自治体データ（ITL1地域ごと12ファイルに分割）は1997〜2022年。同じGDHI手法で算出されており比較しやすい。","done"
"8","イギリス","所得の推計値（小地域モデル推計、参考）","地域 (Region) ※上記GDHI地域データを粗い集計単位として利用","ONS「Regional GDHI」（id=7と同一データ）","https://www.ons.gov.uk/economy/regionalaccounts/grossdisposablehouseholdincome/datasets/regionalgrossdisposablehouseholdincomegdhi","MSOA（Middle Layer Super Output Area、人口約7200人単位）","ONS「Income estimates for small areas, England and Wales」FYE 2020","https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/smallareamodelbasedincomeestimates/financialyearending2020","【注意】MSOAデータはアンケートに基づくモデル推計であり、GDHI（国民経済計算ベース）とは算出方法が異なるため、厳密には「同じ変数」ではない可能性がある。参考・補助的な候補として掲載。登録不要、OGL v3.0。","done"
"9","カナダ","人口推計","州・準州 (Province/territory)","Statistics Canada, Table 17-10-0009-01 Population estimates, quarterly","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901","国勢調査細分区域 (Census subdivision, 市町村相当)","Statistics Canada, Table 17-10-0155-01 Population estimates by census subdivision","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015501","どちらも無料のNDMデータ表でCSV/ZIPダウンロード可、登録不要。州データは1946〜2026年（四半期）、CSDデータは2001〜2025年（年次）。国勢調査区(census division)単位の表(pid=1710015201)も存在。","pending"
"10","カナダ","世帯所得統計 (Household income statistics)","州・準州 (Province/territory)","Statistics Canada, Table 98-10-0057-01 Household income statistics by household type","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810005701","国勢調査区・国勢調査細分区域 (Census division / subdivision)","Statistics Canada, Table 98-10-0057-01（同一表、地理レベルを選択可能）","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810005701","2021年国勢調査ベースの単一の表で、「地理」の項目を切り替えるだけでCanada／州／国勢調査区／国勢調査細分区域のいずれの単位でも表示できる。定義のずれが生じにくく、比較用に最も扱いやすい候補の一つ。CSVダウンロード可、登録不要。","done"
