"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"1","日本","人口と高齢化率の相関","都道府県(n=47)","corr=-0.688","市区町村(n=1740)","corr=-0.323","magnitude_change","符号は同じ(マイナス)だが強さがおよそ半減","yes","yes"
"4","アメリカ","人口と人口増減率の相関","州+DC(n=52)","corr=0.094","郡(n=3144)","corr=0.099","similar","符号・強さともにほぼ変化なし","no","yes"
"5","アメリカ","人口と一人当たり個人所得の相関","州+DC(n=51)","corr=0.140","郡(n=3115)","corr=0.216","magnitude_change","符号は同じ(プラス)だが強さが5割ほど増加","no","yes"
"10","カナダ","世帯数と世帯所得中央値の相関","州・準州(n=13)","corr=-0.136","国勢調査細分区域(n=3660)","corr=0.075","reversed","符号がマイナスからプラスへ逆転したが両方とも0に近い弱い相関","no","yes"
"6","イギリス","人口と高齢化率(65歳以上割合)の相関","地域(Region+Wales)(n=10)","corr=-0.582","LSOA(n=35672)","corr=-0.309","magnitude_change","符号は同じ(マイナス)だが強さがおよそ半減","no","yes"
"7","イギリス","人口と一人当たりGDHI(世帯可処分所得)の相関","ITL1地域(n=12)","corr=0.746","地方自治体(n=361)","corr=-0.082","reversed","符号がプラス(強い正の相関)からマイナスへ逆転。ロンドン中心部の小規模だが高所得な自治体が影響","yes","no"
"8","イギリス","所得水準のばらつき(変動係数)","ITL1地域England&Wales(n=10)","cv=0.186(最大/最小比1.69倍)","MSOA(n=7201)","cv=0.240(最大/最小比4.87倍)","magnitude_change","細かい単位ほどばらつきが大きく見える。ただし粗い側はGDHI(1人あたり可処分所得)・細かい側は世帯総所得のモデル推計で変数定義が完全一致しないため参考程度","n/a(not_corr)","n/a(not_corr)"
"9","カナダ","人口と人口増加率(2021-2025)の相関","州・準州(n=13)","corr=0.098","国勢調査細分区域(n=4884)","corr=0.098","similar","符号・強さともにほぼ変化なし","no","yes"
"11","オーストラリア","人口と人口増加率(2024-25)の相関","州・準州(n=8)","corr=0.158","LGA(n=546)","corr=0.283","magnitude_change","符号は同じ(プラス)だが強さが8割ほど増加","no","yes"
"12","カナダ","num_households_2021_total と num_households_2016_total の相関","州・準州(n=13)","corr=1.000","国勢細分区(n=3617)","corr=1.000","similar","相対変化0.00","yes","yes"
"13","カナダ","num_households_2021_total と median_total_income_2020_total_cad の相関","州・準州(n=13)","corr=-0.136","国勢細分区(n=3660)","corr=0.075","reversed","","no","yes"
"14","カナダ","num_households_2021_total と median_total_income_2015_total_cad の相関","州・準州(n=13)","corr=-0.209","国勢細分区(n=3617)","corr=0.061","reversed","","no","yes"
"15","カナダ","num_households_2021_total と median_aftertax_income_2020_total_cad の相関","州・準州(n=13)","corr=-0.140","国勢細分区(n=3660)","corr=0.073","reversed","","no","yes"
